類別,帳號,姓名,暱稱,自我介紹,老師亮點1,老師亮點2,老師亮點3
<<<<<<< HEAD
s,s1@s1,學生1號,逮丸no1,經過上述討論，西賽羅曾經提過，如果靈魂仍能研究和學習，那麼沒有什麼比老年的空閒更快樂了。空閒存於善良的行動，人類藉著它才能在道德上、智能上與精神上獲得成長。但願各位能從這段話中獲得心靈上的滋長。如果別人做得到，那我也可以做到。世界需要改革，需要對,,,
t,t1@t1,老師1號,番茄老師,我們都有個共識，若問題很困難，那就勢必不好解決。塞繆爾在過去曾經講過，,亞洲風雲人物,英文不得了,川普貼身家教
=======
s,s1@s1,學生1號,s1,經過上述討論，西賽羅曾經提過，如果靈魂仍能研究和學習，那麼沒有什麼比老年的空閒更快樂了。空閒存於善良的行動，人類藉著它才能在道德上、智能上與精神上獲得成長。但願各位能從這段話中獲得心靈上的滋長。如果別人做得到，那我也可以做到。世界需要改革，需要對,,,
t,t1@t1,老師1號,t1,我們都有個共識，若問題很困難，那就勢必不好解決。塞繆爾在過去曾經講過，,亞洲風雲人物,英文不得了,川普貼身家教
>>>>>>> bb2876c4dadecede2089c06aa199b37fdaf3d2e7
t,teacher2@quikok.com,老師二號,,而這些並不是完全重要，更加重要的問題是，我們不得不相信，自我介紹必定會成為未來世界的新標準。黑格爾曾經認為，只有永遠躺在泥坑里的人，才不會再掉進坑里,,,
s,s2@s2,學生2號,sno2,這段話的餘韻不斷在我腦海中迴盪著。帶著這些問題，我們一起來審視自我介紹。領悟其中的道理也不是那麼的困難。若沒有自我介紹的存在，那麼後果可想而知。,,,
s,s3@s3,學生3號,sno3,們選擇忽略自我介紹，那後果可想而知。自我介紹對我來說有著舉足輕重的地位，必須要嚴肅認真的看待。世界上若沒有自我介紹，對於人類的改變可想而知。對自我介紹進行深入研究，在現今時代已經無法避免了。探討自我介紹時，如果發現非常複雜，那麼想必不簡單。對於一般人來說，,,,
s,s4@s4,學生4號,sno4,,,,
s,s5@s5,學生5號,sno5,,,,
s,s6@s6,學生6號,sno6,自我介紹究竟象徵著什麼呢？若能夠洞悉自我介紹各種層面的含義，勢必能讓思維再提高一個層級。儘管如此，別人往往卻不這麼想。我們普遍認為，若能理解透徹核心原理，對其就有了一定的了解程度。在人類的歷史中,,,
s,s7@s7,學生7號,sno7,,,,
s,s8@s8,學生8號,sno8,吉爾伯特曾經提到過，愛情是一個平台，上面聚集著形形色色的人。,,,
s,s9@s9,學生9號,sno9,信我們一定會對自我介紹改觀。問題的核心究竟是什麼？自我介紹因何而發生？要想清楚，自我介紹，到底是一種怎麼樣的存在。別林斯基在過去曾經講過，讀者群是文學的最高法庭，最高裁判者。這段話的餘韻不斷在我腦海中迴盪著。,,,
s,s10@s10,學生10號,sno10,,,,
s,s11@s11,學生11號,sno11,,,,
